directory => accepted comment count   Unaccepted comment count
 drivers/net/ethernet/nvidia => 2    35
 drivers/net/ethernet/freescale/fs_enet => 18    38
 drivers/net/ethernet/freescale/dpaa2 => 158    1
 drivers/net/ethernet/freescale/dpaa => 0    0
 drivers/net/ethernet/freescale/enetc => 1    0
 drivers/net/ethernet/freescale/fman => 40    1
 drivers/net/ethernet/freescale => 22    60
 drivers/net/ethernet/allwinner => 0    1
 drivers/net/ethernet/nxp => 0    33
 drivers/net/ethernet/apple => 0    36
 drivers/net/ethernet/i825xx => 14    41
 drivers/net/ethernet/synopsys => 0    0
 drivers/net/ethernet/pensando/ionic => 116    0
 drivers/net/ethernet/pensando => 0    0
 drivers/net/ethernet/cadence => 4    0
 drivers/net/ethernet/mscc => 0    0
 drivers/net/ethernet/intel/igbvf => 68    0
 drivers/net/ethernet/intel/iavf => 266    1
 drivers/net/ethernet/intel/fm10k => 254    1
 drivers/net/ethernet/intel/ice => 1150    1
 drivers/net/ethernet/intel/i40e => 893    2
 drivers/net/ethernet/intel/igc => 163    0
 drivers/net/ethernet/intel/ixgbe => 514    224
 drivers/net/ethernet/intel/ixgbevf => 119    0
 drivers/net/ethernet/intel/e1000 => 144    3
 drivers/net/ethernet/intel/ixgb => 84    6
 drivers/net/ethernet/intel/e1000e => 404    0
 drivers/net/ethernet/intel/igb => 304    0
 drivers/net/ethernet/intel => 4    6
 drivers/net/ethernet/sfc/falcon => 143    25
 drivers/net/ethernet/sfc => 701    49
 drivers/net/ethernet/realtek => 0    25
 drivers/net/ethernet/moxa => 0    0
 drivers/net/ethernet/pasemi => 0    1
 drivers/net/ethernet/amazon/ena => 19    1
 drivers/net/ethernet/amazon => 0    0
 drivers/net/ethernet/oki-semi/pch_gbe => 96    18
 drivers/net/ethernet/oki-semi => 0    0
 drivers/net/ethernet/rdc => 0    0
 drivers/net/ethernet/cirrus => 3    6
 drivers/net/ethernet/aurora => 0    0
 drivers/net/ethernet/dec/tulip => 5    222
 drivers/net/ethernet/dec => 0    0
 drivers/net/ethernet/xircom => 18    1
 drivers/net/ethernet/microchip => 3    36
 drivers/net/ethernet/hisilicon/hns => 162    2
 drivers/net/ethernet/hisilicon/hns3/hns3pf => 5    0
 drivers/net/ethernet/hisilicon/hns3/hns3vf => 1    0
 drivers/net/ethernet/hisilicon/hns3 => 4    0
 drivers/net/ethernet/hisilicon => 5    0
 drivers/net/ethernet/agere => 7    0
 drivers/net/ethernet/emulex/benet => 3    10
 drivers/net/ethernet/emulex => 0    0
 drivers/net/ethernet/broadcom/bnx2x => 338    332
 drivers/net/ethernet/broadcom/genet => 1    5
 drivers/net/ethernet/broadcom/bnxt => 3    0
 drivers/net/ethernet/broadcom => 52    369
 drivers/net/ethernet/wiznet => 4    12
 drivers/net/ethernet/8390 => 68    75
 drivers/net/ethernet/apm/xgene => 0    1
 drivers/net/ethernet/apm/xgene-v2 => 0    0
 drivers/net/ethernet/apm => 0    0
 drivers/net/ethernet/cortina => 5    0
 drivers/net/ethernet/brocade/bna => 90    158
 drivers/net/ethernet/brocade => 0    0
 drivers/net/ethernet/alteon => 0    96
 drivers/net/ethernet/3com => 6    17
 drivers/net/ethernet/natsemi => 1    70
 drivers/net/ethernet/seeq => 0    23
 drivers/net/ethernet/renesas => 0    0
 drivers/net/ethernet/ni => 0    0
 drivers/net/ethernet/xscale => 0    6
 drivers/net/ethernet/arc => 33    0
 drivers/net/ethernet/adaptec => 0    10
 drivers/net/ethernet/packetengines => 0    3
 drivers/net/ethernet/smsc => 62    154
 drivers/net/ethernet/cavium/common => 5    0
 drivers/net/ethernet/cavium/liquidio => 221    7
 drivers/net/ethernet/cavium/thunder => 0    0
 drivers/net/ethernet/cavium/octeon => 0    1
 drivers/net/ethernet/cavium => 0    0
 drivers/net/ethernet => 4    91
 drivers/net/fddi/skfp/h => 25    274
 drivers/net/fddi/skfp => 127    474
 drivers/net/fddi => 2    75
 drivers/net/hippi => 0    54
 drivers/net/pcs => 0    0
 drivers/net/mdio => 7    8
 drivers/net/team => 15    13
 drivers/net/fjes => 0    0
 drivers/net/netdevsim => 0    0
 drivers/net/hyperv => 0    45
 drivers/net/usb => 104    111
 drivers/net/can/ifi_canfd => 0    2
 drivers/net/can/peak_canfd => 0    0
 drivers/net/can/sja1000 => 0    69
 drivers/net/can/spi/mcp251xfd => 1    0
 drivers/net/can/spi => 0    0
 drivers/net/can/c_can => 0    18
 drivers/net/can/rcar => 0    0
 drivers/net/can/m_can => 0    0
 drivers/net/can/cc770 => 0    11
 drivers/net/can/usb/peak_usb => 0    63
 drivers/net/can/usb/kvaser_usb => 1    0
 drivers/net/can/usb => 0    22
 drivers/net/can/softing => 0    24
 drivers/net/can/mscan => 0    4
 drivers/net/can => 55    62
 drivers/net/caif => 0    9
 drivers/net/bonding => 75    3
 drivers/net/ieee802154 => 61    1
 drivers/net => 31    64
