directory => accepted comment count   Unaccepted comment count
File   net/wireless/radiotap.c => 2    8
File   net/wireless/sme.c => 0    19
File   net/wireless/mesh.c => 0    5
File   net/wireless/ethtool.c => 0    0
File   net/wireless/wext-sme.c => 0    0
File   net/wireless/wext-proc.c => 0    2
File   net/wireless/debugfs.c => 0    0
File   net/wireless/of.c => 0    0
File   net/wireless/scan.c => 3    31
File   net/wireless/trace.h => 2    0
File   net/wireless/rdev-ops.h => 0    0
File   net/wireless/ocb.c => 0    0
File   net/wireless/nl80211.h => 0    0
File   net/wireless/ibss.c => 0    2
File   net/wireless/trace.c => 0    0
File   net/wireless/lib80211_crypt_ccmp.c => 1    1
File   net/wireless/wext-compat.c => 1    9
  net/wireless => 31    246
File   net/atm/common.c => 0    2
File   net/atm/signaling.c => 0    1
File   net/atm/Makefile => 0    0
File   net/atm/resources.h => 0    0
File   net/atm/raw.c => 0    2
File   net/atm/Kconfig => 0    0
File   net/atm/atm_sysfs.c => 0    0
File   net/atm/addr.c => 0    0
File   net/atm/proc.c => 0    0
File   net/atm/pppoatm.c => 0    17
File   net/atm/protocols.h => 0    0
File   net/atm/mpoa_caches.h => 0    0
File   net/atm/atm_misc.c => 0    1
File   net/atm/lec.c => 0    32
File   net/atm/mpc.h => 0    0
File   net/atm/addr.h => 0    0
File   net/atm/resources.c => 1    1
File   net/atm/pvc.c => 0    1
File   net/atm/common.h => 0    0
File   net/atm/mpc.c => 0    16
File   net/atm/mpoa_caches.c => 0    4
File   net/atm/br2684.c => 0    10
File   net/atm/svc.c => 0    4
File   net/atm/mpoa_proc.c => 0    7
File   net/atm/ioctl.c => 0    2
File   net/atm/lec_arpc.h => 0    1
File   net/atm/clip.c => 0    3
File   net/atm/signaling.h => 0    1
File   net/atm/lec.h => 0    11
  net/atm => 1    116
File   net/Makefile => 0    0
File   net/batman-adv/bat_v_ogm.c => 25    0
File   net/batman-adv/netlink.h => 0    0
File   net/batman-adv/main.c => 13    0
File   net/batman-adv/soft-interface.c => 22    0
File   net/batman-adv/send.h => 2    0
File   net/batman-adv/bridge_loop_avoidance.h => 1    0
File   net/batman-adv/bitarray.h => 2    0
File   net/batman-adv/Makefile => 0    0
File   net/batman-adv/gateway_client.h => 0    0
File   net/batman-adv/sysfs.h => 4    0
File   net/batman-adv/netlink.c => 31    0
File   net/batman-adv/icmp_socket.h => 0    0
File   net/batman-adv/log.h => 6    0
File   net/batman-adv/Kconfig => 0    0
File   net/batman-adv/debugfs.h => 0    0
File   net/batman-adv/bat_v_elp.h => 0    0
File   net/batman-adv/send.c => 24    0
File   net/batman-adv/multicast.c => 66    0
File   net/batman-adv/bat_algo.h => 0    0
File   net/batman-adv/bitarray.c => 1    0
File   net/batman-adv/sysfs.c => 14    0
File   net/batman-adv/hard-interface.c => 21    0
File   net/batman-adv/log.c => 3    0
File   net/batman-adv/originator.c => 42    0
File   net/batman-adv/originator.h => 1    0
File   net/batman-adv/tp_meter.c => 40    0
File   net/batman-adv/distributed-arp-table.c => 46    0
File   net/batman-adv/soft-interface.h => 0    0
File   net/batman-adv/multicast.h => 4    0
File   net/batman-adv/bat_iv_ogm.h => 0    0
File   net/batman-adv/types.h => 222    0
File   net/batman-adv/gateway_client.c => 17    0
File   net/batman-adv/fragmentation.h => 1    0
File   net/batman-adv/distributed-arp-table.h => 3    0
File   net/batman-adv/bat_v_ogm.h => 0    0
File   net/batman-adv/bat_algo.c => 6    0
File   net/batman-adv/hash.c => 3    0
File   net/batman-adv/bat_iv_ogm.c => 38    0
File   net/batman-adv/hash.h => 3    0
File   net/batman-adv/hard-interface.h => 12    0
File   net/batman-adv/tp_meter.h => 0    0
File   net/batman-adv/gateway_common.h => 1    0
File   net/batman-adv/tvlv.c => 18    0
File   net/batman-adv/bat_v.c => 23    0
File   net/batman-adv/gateway_common.c => 7    0
File   net/batman-adv/tvlv.h => 0    0
File   net/batman-adv/main.h => 17    0
File   net/batman-adv/debugfs.c => 12    0
File   net/batman-adv/routing.h => 0    0
File   net/batman-adv/network-coding.c => 52    0
File   net/batman-adv/network-coding.h => 0    0
File   net/batman-adv/fragmentation.c => 10    0
File   net/batman-adv/translation-table.c => 89    0
File   net/batman-adv/bat_v.h => 0    0
File   net/batman-adv/trace.h => 0    0
File   net/batman-adv/trace.c => 0    0
File   net/batman-adv/icmp_socket.c => 4    0
File   net/batman-adv/bat_v_elp.c => 11    0
File   net/batman-adv/translation-table.h => 0    0
File   net/batman-adv/bridge_loop_avoidance.c => 52    0
File   net/batman-adv/routing.c => 16    0
  net/batman-adv => 985    0
File   net/dsa/switch.c => 0    0
File   net/dsa/tag_gswip.c => 0    0
File   net/dsa/tag_ksz.c => 0    2
File   net/dsa/dsa_priv.h => 0    0
File   net/dsa/Makefile => 0    0
File   net/dsa/tag_trailer.c => 0    0
File   net/dsa/tag_sja1105.c => 0    0
File   net/dsa/tag_ar9331.c => 0    0
File   net/dsa/Kconfig => 0    0
File   net/dsa/master.c => 0    0
File   net/dsa/tag_lan9303.c => 0    0
File   net/dsa/slave.c => 0    0
File   net/dsa/tag_8021q.c => 0    0
File   net/dsa/tag_hellcreek.c => 0    0
File   net/dsa/dsa.c => 0    0
File   net/dsa/tag_dsa.c => 2    0
File   net/dsa/tag_ocelot.c => 0    0
File   net/dsa/port.c => 0    0
File   net/dsa/tag_mtk.c => 0    0
File   net/dsa/tag_rtl4_a.c => 0    2
File   net/dsa/tag_brcm.c => 0    0
File   net/dsa/tag_qca.c => 0    0
File   net/dsa/dsa2.c => 0    0
  net/dsa => 2    4
File   net/bpf/Makefile => 0    0
File   net/bpf/test_run.c => 1    0
  net/bpf => 1    0
File   net/key/Makefile => 0    0
File   net/key/af_key.c => 1    0
  net/key => 1    0
File   net/dns_resolver/Makefile => 0    0
File   net/dns_resolver/dns_key.c => 0    6
File   net/dns_resolver/Kconfig => 0    0
File   net/dns_resolver/internal.h => 0    3
File   net/dns_resolver/dns_query.c => 1    0
  net/dns_resolver => 1    9
File   net/socket.c => 30    46
File   net/6lowpan/core.c => 0    0
File   net/6lowpan/Makefile => 0    0
File   net/6lowpan/nhc.h => 9    0
File   net/6lowpan/Kconfig => 0    0
File   net/6lowpan/nhc_hop.c => 0    0
File   net/6lowpan/nhc_mobility.c => 0    0
File   net/6lowpan/nhc.c => 0    0
File   net/6lowpan/iphc.c => 2    0
File   net/6lowpan/nhc_fragment.c => 0    0
File   net/6lowpan/nhc_routing.c => 0    0
File   net/6lowpan/nhc_ghc_udp.c => 0    0
File   net/6lowpan/nhc_ghc_ext_frag.c => 0    0
File   net/6lowpan/nhc_udp.c => 0    0
File   net/6lowpan/ndisc.c => 0    0
File   net/6lowpan/nhc_dest.c => 0    0
File   net/6lowpan/nhc_ghc_ext_hop.c => 0    0
File   net/6lowpan/debugfs.c => 0    0
